gene	rice-defline
AC155624.2_FG006	protein phosphatase 2C, putative, expressed
AC155624.2_FG008	translation initiation factor IF-2, putative, expressed
AC155624.2_FG011	expressed protein
AC159612.1_FG007	glucan endo-1,3-beta-glucosidase precursor, putative, expressed
AC165171.2_FG002	WRKY17, expressed
AC165178.2_FG001	expressed protein
AC165178.2_FG002	retrotransposon protein, putative, unclassified, expressed
AC165178.2_FG004	MYB family transcription factor, putative, expressed
AC166636.1_FG007	expressed protein
AC166636.1_FG008	ras-related protein, putative, expressed
AC166636.1_FG009	pumilio-family RNA binding repeat domain containing protein, expressed
AC177820.3_FG007	RNA recognition motif containing protein, expressed
AC177820.3_FG009	tetratricopeptide repeat domain containing protein, putative, expressed
AC177821.2_FG003	expressed protein
AC177821.2_FG005	oxidoreductase, aldo/keto reductase family protein, putative, expressed
AC177833.2_FG001	expressed protein
AC177838.2_FG002	retrotransposon protein, putative, unclassified, expressed
AC177838.2_FG012	NAD dependent epimerase/dehydratase family domain containing protein, expressed
AC177838.2_FG018	retrotransposon protein, putative, unclassified, expressed
AC177840.3_FG005	ZOS1-20 - C2H2 zinc finger protein, expressed
AC177850.2_FG005	expressed protein
AC177860.4_FG002	methyltransferase domain containing protein, putative, expressed
AC177889.2_FG006	ASC1, putative, expressed
AC177893.3_FG003	trp repressor/replication initiator, putative, expressed
AC177893.3_FG005	potassium transporter, putative, expressed
AC177897.2_FG002	expressed protein
AC177897.2_FG020	octicosapeptide/Phox/Bem1p, putative, expressed
AC177897.2_FG021	T-complex protein, putative, expressed
AC177897.2_FG022	L-ascorbate oxidase homolog precursor, putative, expressed
AC177897.2_FG025	SNF2 family N-terminal domain containing protein, expressed
AC177897.2_FG029	ATP binding protein, putative, expressed
AC177899.2_FG009	pentatricopeptide, putative, expressed
AC177899.2_FG012	ulp1 protease family, C-terminal catalytic domain containing protein, expressed
AC177901.3_FG002	expressed protein
AC177901.3_FG004	retrotransposon protein, putative, LINE subclass, expressed
AC177903.4_FG002	expressed protein
AC177908.3_FG002	glycosyl transferase 8 domain containing protein, putative, expressed
AC177919.3_FG004	tetratricopeptide repeat domain containing protein, expressed
AC177924.2_FG001	expressed protein
AC177924.2_FG003	expressed protein
AC177925.2_FG003	expressed protein
AC177926.2_FG003	expressed protein
AC177933.2_FG002	expressed protein
AC177933.2_FG005	MLO domain containing protein, putative, expressed
AC177936.6_FG008	cullin, putative, expressed
AC177940.4_FG006	expressed protein
AC177941.3_FG001	expressed protein
AC177941.3_FG006	expressed protein
AC182110.4_FG002	patatin, putative, expressed
AC182413.4_FG002	expressed protein
AC182439.4_FG004	ergosterol biosynthetic protein 28, putative, expressed
AC182482.3_FG003	cation efflux family protein, putative, expressed
AC182603.4_FG003	expressed protein
AC182615.4_FG002	expressed protein
AC182615.4_FG003	retrotransposon protein, putative, unclassified, expressed
AC182617.3_FG001	diaminopimelate epimerase, chloroplast precursor, putative, expressed
AC182622.3_FG005	harpin-induced protein 1 domain containing protein, expressed
AC182819.4_FG002	expressed protein
AC182826.4_FG003	expressed protein
AC182830.3_FG003	lipase, putative, expressed
AC182830.3_FG004	receptor-like protein kinase 2 precursor, putative, expressed
AC182833.3_FG013	oxidoreductase, short chain dehydrogenase/reductase family protein, putative, expressed
AC183307.5_FG001	late embryogenesis abundant domain-containing protein, putative, expressed
AC183315.4_FG006	armadillo/beta-catenin repeat family protein, putative, expressed
AC183412.5_FG005	expressed protein
AC183503.2_FG003	hydrolase, putative, expressed
AC183511.4_FG003	DNA repair metallo-beta-lactamase, putative, expressed
AC183514.3_FG005	protein kinase family protein, putative, expressed
AC183514.3_FG006	RNA recognition motif containing protein, putative, expressed
AC183518.2_FG001	zinc knuckle family protein, expressed
AC183521.2_FG006	expressed protein
AC183590.4_FG001	glutamate--cysteine ligase, chloroplast precursor, putative, expressed
AC183656.2_FG005	retrotransposon protein, putative, unclassified, expressed
AC183782.3_FG002	expressed protein
AC183888.4_FG006	thioredoxin, putative, expressed
AC183888.4_FG008	SNF2 family N-terminal domain containing protein, expressed
AC183895.3_FG003	AMP-binding domain containing protein, expressed
AC183917.3_FG004	2-nitropropane dioxygenase family, putative, expressed
AC183928.4_FG001	expressed protein
AC183928.4_FG006	eukaryotic aspartyl protease domain containing protein, expressed
AC183932.3_FG004	expressed protein
AC183932.3_FG007	CSLC10 - cellulose synthase-like family C, expressed
AC183938.4_FG004	DNA-directed RNA polymerase 3A, chloroplast precursor, putative, expressed
AC183938.4_FG011	expressed protein
AC183950.2_FG002	ZOS7-07 - C2H2 zinc finger protein, expressed
AC183950.2_FG003	ZOS5-12 - C2H2 zinc finger protein, expressed
AC183950.2_FG004	harpin-induced protein 1 domain containing protein, expressed
AC183950.2_FG005	PPR repeat containing protein, expressed
AC184112.4_FG010	DUF567 domain containing protein, putative, expressed
AC184130.4_FG001	amino acid permease family protein, putative, expressed
AC184130.4_FG005	fasciclin-like arabinogalactan precursor protein, putative, expressed
AC184130.4_FG012	SNI1, putative, expressed
AC184131.5_FG010	CESA8 - cellulose synthase, expressed
AC184133.3_FG001	expressed protein
AC184133.3_FG004	OsMADS13 - MADS-box family gene with MIKCc type-box, expressed
AC184164.2_FG004	ZOS7-07 - C2H2 zinc finger protein, expressed
AC184164.2_FG006	3-5 exonuclease domain-containing protein, putative, expressed
AC184165.4_FG001	inorganic H+ pyrophosphatase, putative, expressed
AC184169.3_FG001	tetratricopeptide repeat domain containing protein, expressed
AC184172.3_FG001	ulp1 protease family, C-terminal catalytic domain containing protein, expressed
AC184694.3_FG007	mitochondrial prohibitin complex protein 1, putative, expressed
AC184699.3_FG005	expressed protein
AC184764.3_FG003	carrier, putative, expressed
AC184770.3_FG001	nonsense-mediated mRNA decay protein 3, putative, expressed
AC184772.3_FG001	polygalacturonase, putative, expressed
AC184775.2_FG002	expressed protein
AC184776.3_FG003	harpin-induced protein 1 domain containing protein, expressed
AC184794.2_FG003	peptide transporter PTR2, putative, expressed
AC184831.3_FG003	anthocyanidin 5,3-O-glucosyltransferase, putative, expressed
AC184831.3_FG005	GATA zinc finger domain containing protein, expressed
AC184831.3_FG008	GATA zinc finger domain containing protein, expressed
AC184834.3_FG007	cysteine-rich receptor-like protein kinase 8 precursor, putative, expressed
AC184835.3_FG003	amino acid transporter, putative, expressed
AC184854.4_FG001	AMP-binding domain containing protein, expressed
AC184854.4_FG003	AP2-associated protein kinase 1, putative, expressed
AC184866.3_FG007	START domain containing protein, expressed
AC184871.2_FG002	MCM5 - Putative minichromosome maintenance MCM complex subunit 5, expressed
AC185108.3_FG007	hAT dimerisation domain-containing protein, putative, expressed
AC185108.3_FG008	ankyrin repeat-containing protein, putative, expressed
AC185108.3_FG010	expressed protein
AC185108.3_FG011	ZOS3-11 - C2H2 zinc finger protein, expressed
AC185111.3_FG004	MYB family transcription factor, putative, expressed
AC185121.3_FG001	CESA1 - cellulose synthase, expressed
AC185126.3_FG006	zinc finger, C3HC4 type domain containing protein, expressed
AC185128.2_FG002	STE_MEK_ste7_MAP2K.7 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed
AC185130.2_FG004	peptidase, putative, expressed
AC185130.2_FG005	expressed protein
AC185213.3_FG003	pentatricopeptide, putative, expressed
AC185217.3_FG002	chaperone protein dnaJ 10, putative, expressed
AC185217.3_FG004	expressed protein
AC185224.4_FG005	laccase-15 precursor, putative, expressed
AC185226.4_FG001	tetratricopeptide repeat, putative, expressed
AC185226.4_FG006	transposon protein, putative, unclassified, expressed
AC185254.4_FG002	ABC transporter, ATP-binding protein, putative, expressed
AC185254.4_FG004	harpin-induced protein 1 domain containing protein, expressed
AC185254.4_FG005	copper-transporting ATPase PAA1, putative, expressed
AC185265.3_FG003	expressed protein
AC185272.3_FG005	lectin-like receptor kinase, putative, expressed
AC185300.4_FG002	expressed protein
AC185304.4_FG010	expressed protein
AC185306.4_FG004	protein kinase, putative, expressed
AC185322.3_FG008	OsFBX278 - F-box domain containing protein, expressed
AC185322.3_FG011	expressed protein
AC185413.3_FG005	OsSub55 - Putative Subtilisin homologue, expressed
AC185415.3_FG005	zinc finger Ran-binding domain-containing protein 2, putative, expressed
AC185422.3_FG005	cysteine-rich repeat secretory protein 15 precursor, putative, expressed
AC185434.4_FG004	OsMADS31 - MADS-box family gene with MIKCc type-box, expressed
AC185436.3_FG004	ulp1 protease family protein, putative, expressed
AC185442.3_FG002	TOO MANY MOUTHS precursor, putative, expressed
AC185443.3_FG004	expressed protein
AC185453.3_FG002	harpin-induced protein 1 domain containing protein, expressed
AC185460.3_FG004	zinc finger, C3HC4 type domain containing protein, expressed
AC185466.3_FG001	SEC6, putative, expressed
AC185468.3_FG003	eukaryotic translation initiation factor 2 subunit beta, putative, expressed
AC185471.3_FG005	dynein light chain type 1 domain containing protein, expressed
AC185478.4_FG005	expressed protein
AC185498.3_FG007	aminoacyl-tRNA synthetase, putative, expressed
AC185500.3_FG004	glycosyl hydrolase family 3 protein, putative, expressed
AC185500.3_FG005	ubiquitin interaction motif family protein, expressed
AC185501.3_FG001	kinesin motor domain containing protein, putative, expressed
AC185501.3_FG006	expressed protein
AC185504.4_FG008	protein kinase family protein, putative, expressed
AC185519.3_FG002	CESA1 - cellulose synthase, expressed
AC185531.2_FG001	OsCML30 - Calmodulin-related calcium sensor protein, expressed
AC185587.3_FG003	AMP-binding domain containing protein, expressed
AC185593.3_FG003	expressed protein
AC185596.3_FG014	FHA domain containing protein, putative, expressed
AC185603.4_FG007	IPP transferase, putative, expressed
AC185611.3_FG001	EGG APPARATUS-1, putative, expressed
AC185612.3_FG002	nuclease PA3, putative, expressed
AC185625.4_FG004	potassium transporter, putative, expressed
AC185631.4_FG001	GTPase of unknown function domain containing protein, putative, expressed
AC185642.4_FG001	AGAP000425-PA, putative, expressed
AC185645.4_FG006	HEAT repeat family protein, putative, expressed
AC185648.3_FG001	mitotic checkpoint serine/threonine-protein kinase BUB1, putative, expressed
AC185648.3_FG007	expressed protein
AC185649.2_FG003	AGAP000425-PA, putative, expressed
AC185655.3_FG004	ZOS2-06 - C2H2 zinc finger protein, expressed
AC185655.3_FG005	ZOS4-08 - C2H2 zinc finger protein, expressed
AC185660.3_FG003	AGAP000425-PA, putative, expressed
AC185667.3_FG007	eukaryotic aspartyl protease domain containing protein, expressed
AC185668.3_FG001	polynucleotide phosphorylase, putative, expressed
AC186009.3_FG001	UDP-glucoronosyl/UDP-glucosyl transferase, putative, expressed
AC186028.3_FG003	expressed protein
AC186143.3_FG001	trehalose phosphatase, putative, expressed
AC186145.3_FG002	zinc finger, C3HC4 type domain containing protein, expressed
AC186147.3_FG008	glycosyltransferase, putative, expressed
AC186165.2_FG002	HIRAN domain containing protein, putative, expressed
AC186166.3_FG008	heavy-metal-associated domain-containing protein, putative, expressed
AC186166.3_FG015	ABC1 family domain containing protein, putative, expressed
AC186166.3_FG018	expressed protein
AC186195.4_FG001	expressed protein
AC186223.3_FG003	asparagine synthetase, putative, expressed
AC186231.4_FG002	TsetseEP precursor, putative, expressed
AC186233.3_FG007	expressed protein
AC186234.3_FG005	harpin-induced protein 1 domain containing protein, expressed
AC186284.3_FG007	expressed protein
AC186287.7_FG005	NLI interacting factor-like phosphatase, putative, expressed
AC186302.3_FG013	cis-zeatin O-glucosyltransferase, putative, expressed
AC186310.4_FG004	expressed protein
AC186322.4_FG003	MATE efflux family protein, putative, expressed
AC186329.3_FG009	tetratricopeptide repeat domain containing protein, expressed
AC186333.2_FG006	transcription initiation factor IIB, putative, expressed
AC186339.3_FG008	expressed protein
AC186379.3_FG001	PPR repeat containing protein, expressed
AC186412.4_FG012	homeobox domain containing protein, expressed
AC186419.4_FG002	GCN5-related N-acetyltransferase, putative, expressed
AC186420.3_FG002	HECT-domain domain containing protein, expressed
AC186493.4_FG002	zinc knuckle family protein, expressed
AC186500.3_FG001	copper methylamine oxidase precursor, putative, expressed
AC186516.3_FG003	harpin-induced protein 1 domain containing protein, expressed
AC186519.4_FG002	OsSAUR15 - Auxin-responsive SAUR gene family member
AC186522.3_FG003	tubby, putative, expressed
AC186524.3_FG005	HMG1/2, putative, expressed
AC186529.4_FG014	rubredoxin family protein, putative, expressed
AC186565.3_FG002	CRAL/TRIO domain containing protein, expressed
AC186573.3_FG002	expressed protein
AC186577.3_FG006	invertase/pectin methylesterase inhibitor family protein, putative, expressed
AC186579.3_FG007	RING finger protein 13, putative, expressed
AC186585.4_FG002	peptidyl-tRNA hydrolase, mitochondrial precursor protein, putative, expressed
AC186592.3_FG002	expressed protein
AC186602.4_FG003	expressed protein
AC186603.6_FG003	cytochrome P450, putative, expressed
AC186604.4_FG003	tRNA uridine 5-carboxymethylaminomethyl modification enzyme gidA, putative, expressed
AC186606.4_FG003	bZIP transcription factor domain containing protein, expressed
AC186607.3_FG003	FHA domain containing protein, putative, expressed
AC186623.5_FG003	retrotransposon protein, putative, unclassified, expressed
AC186626.4_FG004	cyclic nucleotide-gated ion channel 2, putative, expressed
AC186627.4_FG002	harpin-induced protein 1 domain containing protein, expressed
AC186663.3_FG006	expressed protein
AC186669.3_FG002	expressed protein
AC186684.4_FG001	GTP-binding protein, putative, expressed
AC186744.4_FG002	ribosomal L9, putative, expressed
AC186781.4_FG006	expressed protein
AC186782.4_FG001	EF hand family protein, putative, expressed
AC186782.4_FG003	GDSL-like lipase/acylhydrolase, putative, expressed
AC186785.4_FG002	expressed protein
AC186798.2_FG002	expressed protein
AC186800.3_FG005	retrotransposon protein, putative, unclassified, expressed
AC186802.4_FG002	cytochrome P450, putative, expressed
AC186808.4_FG004	ORC2 - Putative origin recognition complex subunit 2, expressed
AC186815.3_FG003	polypyrimidine tract-binding protein, putative, expressed
AC186884.3_FG005	expressed protein
AC186897.4_FG016	expressed protein
AC186902.4_FG009	DUF617 domain containing protein, expressed
AC186904.4_FG007	protein binding protein, putative, expressed
AC187032.5_FG003	ATMIN7, putative, expressed
AC187046.3_FG009	zinc knuckle family protein, expressed
AC187050.4_FG004	expressed protein
AC187055.3_FG006	tRNA synthetase class I, putative, expressed
AC187072.4_FG002	3-5 exonuclease domain-containing protein, putative, expressed
AC187073.4_FG007	expressed protein
AC187078.3_FG002	2-nitropropane dioxygenase family, putative, expressed
AC187080.3_FG006	zinc knuckle domain containing protein, expressed
AC187080.3_FG007	expressed protein
AC187082.3_FG002	cig3, putative, expressed
AC187082.3_FG003	basic helix-loop-helix protein, putative, expressed
AC187085.3_FG003	expressed protein
AC187088.3_FG002	guanylate kinase, putative, expressed
AC187094.4_FG002	2-phosphoglycerate kinase-related, putative, expressed
AC187098.4_FG011	PWWP domain containing protein, expressed
AC187099.5_FG005	zinc finger, RING-type, putative, expressed
AC187142.3_FG001	serine esterase family protein, putative, expressed
AC187157.4_FG001	AP2 domain containing protein, expressed
AC187157.4_FG002	MPPN domain containing protein, expressed
AC187157.4_FG005	START domain containing protein, expressed
AC187157.4_FG007	transporter family protein, putative, expressed
AC187207.3_FG006	expressed protein
AC187212.3_FG004	AAA-type ATPase family protein, putative, expressed
AC187212.3_FG009	retrotransposon protein, putative, unclassified, expressed
AC187218.4_FG001	tetratricopeptide repeat domain containing protein, putative, expressed
AC187243.3_FG005	expressed protein
AC187260.3_FG007	CBS domain containing membrane protein, putative, expressed
AC187266.3_FG001	expressed protein
AC187285.5_FG004	sucrose synthase, putative, expressed
AC187392.3_FG006	ABC transporter family protein, putative, expressed
AC187409.4_FG008	catalase isozyme B, putative, expressed
AC187485.3_FG001	expressed protein
AC187551.3_FG002	PPR repeat containing protein, expressed
AC187559.2_FG013	retrotransposon protein, putative, unclassified, expressed
AC187782.4_FG008	coiled-coil domain-containing protein, putative, expressed
AC187782.4_FG009	expressed protein
AC187788.3_FG008	scarecrow, putative, expressed
AC187789.3_FG001	expressed protein
AC187792.3_FG008	OsWAK63 - OsWAK receptor-like protein kinase, expressed
AC187793.3_FG001	RFC2 - Putative clamp loader of PCNA, replication factor C subunit 2, expressed
AC187802.3_FG001	zinc finger DHHC domain-containing protein, putative, expressed
AC187802.3_FG008	expressed protein
AC187809.3_FG005	ulp1 protease family, C-terminal catalytic domain containing protein, expressed
AC187813.3_FG004	PPR repeat containing protein, expressed
AC187820.2_FG001	expressed protein
AC187840.3_FG002	expressed protein
AC187843.3_FG001	RD26, putative, expressed
AC187843.3_FG010	RD26, putative, expressed
AC187870.3_FG002	expressed protein
AC187870.3_FG003	NAD binding domain of 6-phosphogluconate dehydrogenase containing protein, expressed
AC187875.3_FG006	phospholipase D, putative, expressed
AC187875.3_FG009	calcium-transporting ATPase 9, plasma membrane-type, putative, expressed
AC187885.3_FG005	AMP-binding domain containing protein, expressed
AC187891.3_FG006	DUF623 domain containing protein, expressed
AC187896.3_FG006	expressed protein
AC187901.4_FG002	retrotransposon protein, putative, unclassified, expressed
AC187910.5_FG002	25.3 kDa vesicle transport protein, putative, expressed
AC187910.5_FG006	amine oxidase, putative, expressed
AC187917.3_FG001	expressed protein
AC187919.5_FG010	CESA1 - cellulose synthase, expressed
AC187920.3_FG001	uncharacterized UPF0114 domain containing protein, expressed
AC188001.3_FG009	pre-mRNA-splicing factor, putative, expressed
AC188003.3_FG012	LTPL33 - Protease inhibitor/seed storage/LTP family protein precursor, expressed
AC188005.3_FG003	peptide transporter PTR2, putative, expressed
AC188010.3_FG002	kinesin motor domain containing protein, putative, expressed
AC188023.3_FG005	expressed protein
AC188023.3_FG011	CGMC_MAPKCMGC_2_ERK.12 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed
AC188024.3_FG003	OsWAK13 - OsWAK receptor-like protein kinase, expressed
AC188134.2_FG009	expressed protein
AC188134.2_FG011	expressed protein
AC188144.2_FG006	expressed protein
AC188195.2_FG006	protein binding protein, putative, expressed
AC188197.3_FG001	retrotransposon protein, putative, unclassified, expressed
AC188710.4_FG001	RNA recognition motif containing protein, putative, expressed
AC188710.4_FG006	expressed protein
AC188713.2_FG005	formin-like protein 20, putative, expressed
AC188718.3_FG005	expressed protein
AC188718.3_FG006	expressed protein
AC188718.3_FG011	expressed protein
AC188718.3_FG015	expressed protein
AC188719.3_FG003	CYPRO4, putative, expressed
AC188727.3_FG003	zinc knuckle family protein, expressed
AC188738.4_FG006	transposon protein, putative, Pong sub-class, expressed
AC188746.2_FG001	harpin-induced protein 1 domain containing protein, expressed
AC188752.3_FG006	expressed protein
AC188752.3_FG008	expressed protein
AC188752.3_FG011	expressed protein
AC188753.3_FG003	receptor protein kinase CLAVATA1 precursor, putative, expressed
AC188753.3_FG004	SAP domain containing protein, expressed
AC188753.3_FG005	AMP-binding domain containing protein, expressed
AC188754.3_FG002	dnaJ domain containing protein, expressed
AC188757.4_FG004	transposon protein, putative, Pong sub-class, expressed
AC188759.3_FG010	pentatricopeptide containing protein, putative, expressed
AC188823.3_FG007	reductase, putative, expressed
AC188827.4_FG012	glycosyl transferase 8 domain containing protein, putative, expressed
AC188831.3_FG003	plasma membrane ATPase, putative, expressed
AC188831.3_FG006	expressed protein
AC188832.5_FG005	OsMADS13 - MADS-box family gene with MIKCc type-box, expressed
AC188838.3_FG005	amidophosphoribosyltransferase, chloroplast precursor, putative, expressed
AC188966.3_FG002	bromodomain containing protein, expressed
AC188972.3_FG003	seed specific protein Bn15D14A, putative, expressed
AC188978.3_FG008	retrotransposon protein, putative, unclassified, expressed
AC189039.3_FG013	OsFBL33 - F-box domain and LRR containing protein, expressed
AC189041.2_FG005	FYVE zinc finger family protein, expressed
AC189048.2_FG001	retrotransposon protein, putative, unclassified, expressed
AC189060.4_FG003	cyclic nucleotide-gated ion channel 2, putative, expressed
AC189060.4_FG007	retrotransposon protein, putative, unclassified, expressed
AC189061.3_FG004	STE_MEK_ste7_MAP2K.3 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed
AC189091.2_FG002	transposon protein, putative, CACTA, En/Spm sub-class, expressed
AC189280.3_FG001	protein binding protein, putative, expressed
AC189699.4_FG002	receptor protein kinase CLAVATA1 precursor, putative, expressed
AC189744.3_FG005	retrotransposon protein, putative, LINE subclass, expressed
AC189750.4_FG004	OsAPRL1 adenosine 5\'-phosphosulfate reductase-like OsAPRL1, expressed
AC189753.3_FG002	expressed protein
AC189754.3_FG004	powdery mildew resistant protein 5, putative, expressed
AC189766.3_FG001	adaptin, putative, expressed
AC189774.4_FG003	harpin-induced protein 1 domain containing protein, expressed
AC189785.3_FG009	ATMIN7, putative, expressed
AC189795.3_FG001	transposon protein, putative, Pong sub-class, expressed
AC189796.3_FG004	expressed protein
AC189879.3_FG003	PINHEAD, putative, expressed
AC190225.2_FG001	DUF640 domain containing protein, putative, expressed
AC190480.1_FG007	nodulin, putative, expressed
AC190491.1_FG002	transposon protein, putative, Mariner sub-class, expressed
AC190498.1_FG007	expressed protein
AC190499.1_FG003	OsDegp9 - Putative Deg protease homologue, expressed
AC190507.1_FG007	adenylate kinase, putative, expressed
AC190516.1_FG003	protein binding protein, putative, expressed
AC190518.1_FG002	alpha-1,4-glucan-protein synthase, putative, expressed
AC190526.3_FG004	expressed protein
AC190533.4_FG006	von Willebrand factor type A domain containing protein, expressed
AC190537.2_FG002	metallothionein family protein, expressed
AC190538.2_FG005	receptor-like protein kinase 2 precursor, putative, expressed
AC190550.3_FG005	expressed protein
AC190554.3_FG008	ABC transporter, ATP-binding protein, putative, expressed
AC190560.2_FG002	dihydroneopterin aldolase, putative, expressed
AC190561.3_FG002	external NADH-ubiquinone oxidoreductase 1, mitochondrial precursor, putative, expressed
AC190570.3_FG003	Brix domain containing protein, putative, expressed
AC190572.4_FG001	retrotransposon protein, putative, unclassified, expressed
AC190582.4_FG011	leucine rich repeat containing protein, expressed
AC190586.3_FG001	AMP-binding domain containing protein, expressed
AC190587.3_FG005	expressed protein
AC190588.3_FG003	expressed protein
AC190609.3_FG001	transcription factor RF2a, putative, expressed
AC190609.3_FG002	60S ribosomal protein L38, putative, expressed
AC190609.3_FG003	60S ribosomal protein L7, putative, expressed
AC190609.3_FG004	aspartic proteinase-like protein 2 precursor, putative, expressed
AC190609.3_FG005	expressed protein
AC190613.3_FG001	retrotransposon protein, putative, LINE subclass, expressed
AC190620.3_FG004	E1-E2 ATPase domain containing protein, expressed
AC190623.3_FG001	photosystem II reaction center W protein, chloroplast precursor, putative, expressed
AC190623.3_FG002	expressed protein
AC190628.4_FG007	AAA family ATPase, putative, expressed
AC190630.2_FG001	zinc finger, RING-type, putative, expressed
AC190632.2_FG004	ras-related protein, putative, expressed
AC190636.3_FG005	1-aminocyclopropane-1-carboxylate oxidase 2, putative, expressed
AC190638.3_FG001	AGAP000425-PA, putative, expressed
AC190643.4_FG011	Core histone H2A/H2B/H3/H4 domain containing protein, putative, expressed
AC190652.3_FG001	ATP synthase, putative, expressed
AC190659.4_FG003	oryzain gamma chain precursor, putative, expressed
AC190665.3_FG006	expressed protein
AC190671.4_FG003	expressed protein
AC190682.3_FG014	transposon protein, putative, unclassified, expressed
AC190688.3_FG006	curculin-like lectin family protein, putative, expressed
AC190695.3_FG003	zinc knuckle domain containing protein, expressed
AC190700.3_FG002	eukaryotic aspartyl protease domain containing protein, expressed
AC190701.3_FG001	cytidylyltransferase domain containing protein, expressed
AC190713.3_FG004	haemolysin-III, putative, expressed
AC190716.3_FG001	cyclin-dependent kinase B2-1, putative, expressed
AC190724.3_FG004	zinc knuckle family protein, expressed
AC190734.2_FG003	TCP family transcription factor, putative, expressed
AC190734.2_FG006	lung seven transmembrane domain containing protein, putative, expressed
AC190740.2_FG004	expressed protein
AC190743.3_FG012	polypyrimidine tract-binding protein, putative, expressed
AC190749.3_FG006	mps one binder kinase activator-like 1A, putative, expressed
AC190750.2_FG014	OsFBX108 - F-box domain containing protein, expressed
AC190751.4_FG008	DUF1645 domain containing protein, putative, expressed
AC190752.2_FG007	expressed protein
AC190753.4_FG002	disease resistance protein RPM1, putative, expressed
AC190757.3_FG001	zinc knuckle family protein, expressed
AC190761.3_FG002	ubiquitin carboxyl-terminal hydrolase, family 1, putative, expressed
AC190765.3_FG003	expressed protein
AC190771.2_FG008	OsFBX65 - F-box domain containing protein, expressed
AC190772.4_FG011	Cupin domain containing protein, expressed
AC190786.4_FG001	copper-transporting ATPase PAA1, putative, expressed
AC190788.2_FG005	mutS family domain IV containing protein, expressed
AC190789.3_FG002	TraB family protein, putative, expressed
AC190792.2_FG006	expressed protein
AC190803.2_FG001	IBS1, putative, expressed
AC190807.2_FG001	ribosome inactivating protein, putative, expressed
AC190816.3_FG007	expressed protein
AC190822.2_FG003	glyoxal oxidase-related, putative, expressed
